Timestamp,Solar radiation [W/m²],Wind directon [deg],Precipitation [mm],Wind speed [m/s],Air temperature [°C],Relative humidity [%],Dew Point [°C],CumPrec [mm]
2016-03-01 00:00:00,0.0,14.0,0.0,1.4,-1.5,85.4,-3.5,90.4
2016-03-01 00:30:00,0.0,10.0,0.0,1.1,-1.8,87.2,-3.6,90.4
2016-03-01 01:00:00,0.0,23.0,0.0,0.8,-2.0,88.7,-3.5,90.4
2016-03-01 01:30:00,0.0,309.0,0.0,0.4,-2.5,90.6,-3.7,90.4
2016-03-01 02:00:00,0.0,348.0,0.0,0.1,-2.9,92.3,-3.9,90.4
2016-03-01 02:30:00,0.0,298.0,0.0,0.1,-3.2,94.2,-3.9,90.4
2016-03-01 03:00:00,0.0,332.0,0.0,0.3,-3.5,94.9,-4.0,90.4
2016-03-01 03:30:00,0.0,325.0,0.0,0.6,-3.5,95.5,-4.0,90.4
2016-03-01 04:00:00,0.0,293.0,0.0,0.2,-3.8,96.0,-4.2,90.4
2016-03-01 04:30:00,0.0,354.0,0.0,0.0,-4.2,96.5,-4.5,90.4
2016-03-01 05:00:00,0.0,261.0,0.0,0.0,-4.7,96.8,-5.0,90.4
2016-03-01 05:30:00,0.0,236.0,0.0,0.4,-4.3,97.5,-4.5,90.4
2016-03-01 06:00:00,0.0,246.0,0.0,0.1,-4.5,97.8,-4.7,90.4
2016-03-01 06:30:00,0.0,206.0,0.0,0.0,-4.7,98.0,-4.9,90.4
2016-03-01 07:00:00,0.0,231.0,0.0,0.2,-4.4,98.3,-4.5,90.4
2016-03-01 07:30:00,0.0,271.0,0.0,0.7,-4.0,98.3,-4.1,90.4
2016-03-01 08:00:00,14.0,268.0,0.0,0.9,-3.2,98.0,-3.3,90.4
2016-03-01 08:30:00,34.0,302.0,0.0,0.2,-2.9,97.8,-3.1,90.4
2016-03-01 09:00:00,51.0,281.0,0.0,0.9,-2.6,97.5,-2.8,90.4
2016-03-01 09:30:00,73.0,269.0,0.0,1.2,-2.2,96.9,-2.6,90.4
2016-03-01 10:00:00,131.0,278.0,0.0,0.3,-1.8,95.7,-2.2,90.4
2016-03-01 10:30:00,131.0,238.0,0.0,0.7,-1.5,91.7,-2.5,90.4
2016-03-01 11:00:00,139.0,247.0,0.0,1.3,-1.3,84.9,-3.4,90.4
2016-03-01 11:30:00,170.0,228.0,0.0,1.4,-1.1,82.6,-3.6,90.4
2016-03-01 12:00:00,228.0,221.0,0.0,1.5,-0.8,80.7,-3.6,90.4
2016-03-01 12:30:00,268.0,242.0,0.0,1.8,-0.5,79.5,-3.6,90.4
